IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
51,77 ;57,97 ;45,83 ;58,21 ;42,43 ;68,67 ;1
53,25 ;58,47 ;62,98 ;52,31 ;50,73 ;70,78 ;1
66,37 ;59,36 ;77,59 ;56,21 ;61,47 ;95,78 ;1
69,00 ;60,72 ;88,09 ;56,74 ;64,87 ;97,14 ;2
70,52 ;62,75 ;95,32 ;66,17 ;70,36 ;97,50 ;2
69,68 ;65,25 ;90,96 ;67,26 ;68,10 ;91,89 ;1
68,54 ;68,97 ;87,00 ;69,35 ;67,19 ;90,79 ;1
70,31 ;74,43 ;85,14 ;78,27 ;71,52 ;94,51 ;1
75,86 ;80,26 ;89,45 ;79,79 ;72,40 ;98,45 ;2
76,63 ;85,16 ;89,87 ;84,46 ;63,42 ;90,32 ;2
77,27 ;87,91 ;87,77 ;79,90 ;64,17 ;91,86 ;2
80,08 ;89,07 ;88,00 ;82,19 ;66,74 ;99,26 ;2
76,98 ;89,35 ;90,62 ;85,80 ;70,81 ;97,03 ;2
68,42 ;88,39 ;86,67 ;80,50 ;66,64 ;90,32 ;1
74,58 ;87,70 ;84,80 ;81,43 ;66,95 ;97,04 ;2
69,11 ;87,03 ;80,95 ;78,97 ;60,66 ;92,26 ;2
63,86 ;85,79 ;74,00 ;73,82 ;60,54 ;87,30 ;1
69,36 ;84,02 ;73,46 ;74,31 ;63,84 ;98,20 ;2
71,41 ;82,62 ;77,31 ;74,91 ;62,59 ;98,01 ;2
72,17 ;82,61 ;87,71 ;76,14 ;62,45 ;95,40 ;2
71,39 ;82,15 ;83,84 ;75,84 ;65,50 ;94,76 ;2
74,12 ;81,73 ;86,81 ;75,91 ;68,28 ;100,00 ;3
71,40 ;81,99 ;89,00 ;75,72 ;69,96 ;97,13 ;3
56,67 ;80,68 ;73,02 ;66,33 ;62,75 ;83,41 ;3
51,11 ;76,87 ;46,70 ;63,71 ;57,59 ;76,65 ;3
52,15 ;71,53 ;25,92 ;63,57 ;53,93 ;74,94 ;3
45,18 ;65,18 ;16,32 ;57,12 ;47,82 ;63,07 ;3
41,44 ;58,06 ;13,27 ;53,31 ;47,44 ;56,16 ;1
43,59 ;49,50 ;10,65 ;52,63 ;39,06 ;58,17 ;3
